phase,hand,reward,cumulative,win_rate,qtable_size
aggressive,1,0.2,0.2,1.0,1
aggressive,2,0.0,0.2,0.5,1
aggressive,3,-0.1,0.1,0.3333333333333333,2
aggressive,4,0.0,0.1,0.25,2
aggressive,5,-803.9,-803.8,0.2,3
aggressive,6,-19.9,-823.6999999999999,0.16666666666666666,4
aggressive,7,-30.1,-853.8,0.14285714285714285,4
aggressive,8,-9.9,-863.6999999999999,0.125,5
aggressive,9,-9.7,-873.4,0.1111111111111111,5
aggressive,10,-0.1,-873.5,0.1,5
aggressive,11,0.0,-873.5,0.09090909090909091,5
aggressive,12,-9.7,-883.2,0.08333333333333333,7
aggressive,13,-30.0,-913.2,0.07692307692307693,7
aggressive,14,-0.1,-913.3000000000001,0.07142857142857142,7
aggressive,15,-0.1,-913.4000000000001,0.06666666666666667,7
aggressive,16,-30.1,-943.5000000000001,0.0625,7
aggressive,17,0.0,-943.5000000000001,0.058823529411764705,7
aggressive,18,0.0,-943.5000000000001,0.05555555555555555,7
aggressive,19,-0.1,-943.6000000000001,0.05263157894736842,7
aggressive,20,-9.7,-953.3000000000002,0.05,8
aggressive,21,0.0,-953.3000000000002,0.047619047619047616,8
aggressive,22,-30.0,-983.3000000000002,0.045454545454545456,8
aggressive,23,0.0,-983.3000000000002,0.043478260869565216,8
aggressive,24,-0.1,-983.4000000000002,0.041666666666666664,8
aggressive,25,-0.1,-983.5000000000002,0.04,8
aggressive,26,-9.4,-992.9000000000002,0.038461538461538464,8
aggressive,27,-0.1,-993.0000000000002,0.037037037037037035,8
aggressive,28,0.0,-993.0000000000002,0.03571428571428571,8
aggressive,29,0.2,-992.8000000000002,0.06896551724137931,8
aggressive,30,-0.1,-992.9000000000002,0.06666666666666667,8
aggressive,31,-0.1,-993.0000000000002,0.06451612903225806,8
aggressive,32,-0.1,-993.1000000000003,0.0625,8
aggressive,33,0.2,-992.9000000000002,0.09090909090909091,8
aggressive,34,-0.1,-993.0000000000002,0.08823529411764706,8
aggressive,35,-9.9,-1002.9000000000002,0.08571428571428572,9
aggressive,36,-0.1,-1003.0000000000002,0.08333333333333333,9
